丸山城 (因幡国高草郡).json,丸山城 (因幡国高草郡),,
丸山城 (摂津国有馬郡).json,丸山城 (摂津国有馬郡),,
丸山城 (摂津国能勢郡).json,丸山城 (摂津国能勢郡),,
丸山城 (播磨国).json,,,
丸山城 (石見国).json,丸山城 (石見国),,
丸岡城 (出羽国).json,丸岡城 (出羽国),139.83163889,38.68122222
丸岡城.json,丸岡城,136.27214444,36.15242222
丸森城.json,丸森城,140.77505556,37.91052778
久々利城.json,久々利城,137.11358333,35.40483333
久々城.json,,,
久下田城.json,久下田城,,
久保田城 (上総国).json,久保田城 (上総国),,
久保田城.json,久保田城,,
久場嘉城.json,,,
久寺家城.json,久寺家城,,
久川城.json,久川城,,
久志城.json,,,
久慈城.json,久慈城,141.71,40.1925
久留米城.json,久留米城,130.50777222,33.328425
久留里城.json,久留里城,,
久礼城.json,,,
久能山東照宮.json,久能山東照宮,138.46759167,34.96485278
久野城 (遠江国).json,,,
乙子城.json,乙子城,134.039425,34.63043333
乙部館.json,乙部館,141.19980556,39.61075
九之坪城.json,九之坪城,136.87422222,35.238
九戸城.json,九戸城,141.30444444,40.2675
九鬼城.json,九鬼城,,
亀ヶ崎城.json,,,
亀尾城.json,,,
亀居城.json,亀居城,132.21622222,34.24041667
亀山城 (三河国).json,亀山城 (三河国),137.42330556,34.96380556
亀山城 (丹波国).json,亀山城 (丹波国),135.5812,35.01356111
亀山城 (伊勢国).json,亀山城 (伊勢国),136.45059167,34.85614722
亀山城 (備前国).json,亀山城 (備前国),134.03638889,34.70666667
亀山城 (備後国).json,亀山城 (備後国),133.20830556,34.9915
亀山城 (紀伊国).json,亀山城 (紀伊国),135.15463889,33.91097222
亀山城 (長門国).json,亀山城 (長門国),131.18330556,34.37155556
亀後城.json,,,
亀浦城.json,,,
亀田城.json,,,
亀頭山城.json,亀頭山城,,
二上山城 (大和国).json,二上山城 (大和国),,
二上山城.json,二上山城,134.31894444,35.54036111
二俣城.json,二俣城,,
二子城.json,二子城,141.13855556,39.33166667
二曲城.json,二曲城,,
二本松城.json,二本松城,,
二条城.json,二条城,135.7475,35.01415556
二田城.json,二田城,,
二連木城.json,二連木城,137.41484722,34.77001389
五ヶ所城.json,,,
五十公野城.json,五十公野城,,
五品嶽城.json,,,
五本松城.json,五本松城,,
五条二見城.json,,,
五稜郭.json,五稜郭,140.75696111,41.7969
五龍城.json,五龍城,,
井上城 (信濃国).json,井上城 (信濃国),,
井上城.json,井上城,131.65405556,32.56480556
井伊谷城.json,井伊谷城,137.67063889,34.83688889
井口城.json,井口城,136.93069444,36.54458333
井川館.json,井川館,137.96455556,36.22230556
井波城.json,井波城,136.97416667,36.55944444
井田城 (三河国).json,井田城 (三河国),137.16466667,34.97672222
亘理城.json,亘理城,140.85111111,38.03361111
交野城.json,交野城,,
亥鼻城.json,亥鼻城,140.13033333,35.60408333
人吉城.json,人吉城,130.76649167,32.21108333
人首城.json,,,
仁保城.json,仁保城,132.49044444,34.36644444
仁宇城.json,仁宇城,,
今城 (えびの市).json,今城 (えびの市),,
今城 (下総国).json,今城 (下総国),139.99194444,35.93194444
今城 (美濃国).json,今城 (美濃国),137.05111111,35.38036111
今帰仁城.json,今帰仁城,127.92977778,26.69077778
今村城 (尾張国).json,今村城 (尾張国),137.07263889,35.21827778
今江城.json,,,
今治城.json,今治城,133.00680556,34.06333611
今泉城 (上総国).json,,,
今泉城 (下総国).json,,,
今泉城 (常陸国).json,,,
今泉城 (越中国).json,今泉城 (越中国),137.21388889,36.66972222
今泉城 (陸奥国).json,今泉城 (陸奥国),,
今熊野城.json,,,
今石動城.json,今石動城,136.85852778,36.68327778
今衣山城.json,,,
仙台城.json,仙台城,140.85615556,38.25247778
仙台藩シラオイ元陣屋.json,,,
仲山城.json,,,
仲氏館.json,仲氏館,,
伊万里城.json,,,
伊丹城.json,伊丹城,,
伊佐城.json,伊佐城,139.97625,36.33105556
伊佐野城.json,伊佐野城,,
伊作城.json,伊作城,,
伊敷索城.json,,,
伊是名城.json,伊是名城,127.95191667,26.91455833
伊木山城.json,伊木山城,,
伊波城.json,伊波城,,
伊祖城.json,,,
伊計城.json,,,
伊賀上野城.json,伊賀上野城,,
伏屋城.json,伏屋城,,
伏見城.json,伏見城,135.77688889,34.93947222
伏野城.json,,,
伝法寺館.json,,,
伽羅御所.json,伽羅御所,141.11861111,38.99111111
住吉城.json,住吉城,,
佐世城.json,佐世城,,
佐井田城.json,,,
佐伯城.json,佐伯城,,
佐保来栖山砦.json,佐保来栖山砦,,
佐倉城.json,佐倉城,140.21671667,35.72198889
佐原城.json,佐原城,139.68322222,35.23827778
佐和山城.json,佐和山城,,
佐嘉飯盛城.json,佐嘉飯盛城,,
佐土原城.json,佐土原城,131.42383333,32.04783333
佐多城.json,,,
佐敷城 (琉球国).json,佐敷城 (琉球国),127.78952778,26.16244444
佐敷城 (肥後国).json,佐敷城 (肥後国),130.51630556,32.30305556
佐東銀山城.json,佐東銀山城,132.44852,34.456
佐沼城.json,佐沼城,141.19582222,38.694575
佐津間城.json,,,
佐紀城.json,,,
佐貫城.json,佐貫城,,
佐賀城.json,佐賀城,130.302125,33.24574722
佐野城.json,佐野城,139.57916667,36.31916667
作山城.json,作山城,133.99805556,34.34388889
依上城.json,依上城,,
保原陣屋.json,保原陣屋,,
保木城.json,保木城,,
保里城.json,,,
信貴山城.json,信貴山城,135.66833667,34.61273611
俣野の土居城.json,俣野の土居城,,
倉賀野城.json,倉賀野城,139.04527778,36.29416667
元城 (陸奥国).json,元城 (陸奥国),,
元木山城.json,元木山城,139.48194444,35.58527778
光城.json,光城,,
光岡城.json,,,
光明寺城 (尾張国).json,光明寺城 (尾張国),,
光明寺城 (播磨国).json,光明寺城 (播磨国),,
児山城.json,児山城,139.85239167,36.44785
児玉城 (武蔵国).json,,,
入尾城.json,入尾城,,
八丁目城.json,八丁目城,,
八上城.json,八上城,,
八代城.json,八代城,130.59989167,32.50745556
八幡山城 (美濃国).json,八幡山城 (美濃国),,
八幡山城.json,八幡山城,,
八幡神社 (かほく市森)#森城について.json,八幡神社 (かほく市森),,
八戸城.json,八戸城,141.48786111,40.514
八木城 (丹波国).json,八木城 (丹波国),,
八木城 (但馬国).json,八木城 (但馬国),,
八木城 (安芸国).json,八木城 (安芸国),,
八木山城.json,,,
八木岡城.json,八木岡城,139.99,36.41694444
八条原城.json,八条原城,,
八橋城.json,八橋城,133.67327778,35.5035
八王子城.json,八王子城,139.25211389,35.65293333
八神城.json,八神城,,
八重瀬城.json,,,
兵庫城.json,兵庫城,,
具志川城 (うるま市).json,,,
具志川城 (久米島町).json,具志川城 (久米島町),126.75111111,26.38333333
具志川城 (糸満市).json,具志川城 (糸満市),127.66436111,26.0805
具志頭城.json,,,
兼城城.json,,,
内城.json,内城,,
内山城.json,内山城,,
内木場城.json,内木場城,,
内池館.json,内池館,138.58377778,36.97930556
出島.json,出島,129.87301944,32.74351944
出水城.json,,,
出石城.json,出石城,,
出羽柵.json,出羽柵,,
刈安城.json,,,
刈谷城.json,刈谷城,136.98522222,34.98936111
初沢城.json,初沢城,,
利府城.json,利府城,,
利神城.json,利神城,,
前山城 (信濃国).json,前山城 (信濃国),,
前橋城.json,前橋城,139.06158056,36.39237222
前沢城.json,,,
前田城.json,,,
剣吉館.json,剣吉館,141.341,40.44611111
割ヶ嶽城.json,割ヶ嶽城,,
加世田城.json,,,
加久藤城.json,加久藤城,,
加古川城.json,加古川城,134.83066667,34.76855556
加徳城.json,,,
加徳支城.json,,,
加治木城.json,加治木城,,
加治田城.json,加治田城,136.99330556,35.49794444
加納城.json,加納城,,
助川海防城.json,助川海防城,,
勘次ヶ城.json,,,
勝尾城.json,勝尾城,130.46505556,33.40205556
勝山城 (下野国).json,勝山城 (下野国),139.95475,36.66761111
勝山城 (因幡国).json,,,
勝山城 (甲斐国八代郡).json,勝山城 (甲斐国八代郡),,
勝山城 (甲斐国都留郡).json,勝山城 (甲斐国都留郡),,
勝山城 (美作国).json,勝山城 (美作国),,
勝山城 (能登国).json,,,
勝山城 (越前国).json,勝山城 (越前国),,
勝山城 (越後国).json,勝山城 (越後国),,
勝山城 (長門国).json,勝山城 (長門国),130.97016667,34.03263889
勝岡城.json,,,
勝幡城.json,勝幡城,,
勝本城.json,勝本城,129.69105556,33.84930556
勝沼城.json,勝沼城,,
勝沼氏館.json,勝沼氏館,,
勝浦城.json,勝浦城,,
勝瑞城.json,勝瑞城,,
勝竜寺城.json,勝竜寺城,,
勝賀城.json,勝賀城,133.98063889,34.34052778
勝連城.json,勝連城,127.87891667,26.33019444
勢理城.json,,,
勢福寺城.json,勢福寺城,,
北ノ庄城.json,北ノ庄城,,
北尾山城.json,,,
北山王国.json,北山王国,,
北島城.json,北島城,,
北方城.json,北方城,136.69169444,35.43705556
北村城.json,,,
